,ticker,winrate_4y,return_4y,buyhold_4y,winrate_1y,return_1y,buyhold_1y,winrate_td,return_td,buyhold_td,std_1y,std_3m,return_1m,return_3m,return_6m
1,MSFT,46.45,0.96,1.23,42.76,0.96,1.62,36.36,0.82,1.1,40.778229043094974,13.125919643711471,1.2782285502272517,1.1378985251831926,1.0001519339578888
2,AAPL,47.28,1.12,0.95,38.64,0.91,1.46,36.0,0.82,0.93,17.05271478499415,6.204717579309279,1.0509182488072544,1.0835281581554408,0.9903728672402964
3,NVDA,57.45,2.41,2.99,49.29,1.15,3.23,55.88,1.2,1.84,106.66644186542695,115.17425217645561,2.462717760741141,1.6270741456302193,1.5010584254825639
4,AMZN,55.24,1.66,1.05,55.71,0.99,1.74,46.43,1.16,1.18,18.813746953916528,9.974369339047739,1.0413557242819338,0.8803619401238141,0.8355917018392487
5,META,55.37,1.95,1.5,49.64,1.03,2.7,50.0,0.95,1.47,62.62359257617683,54.31236779395786,1.390990363562086,0.9931358346448375,0.8990282854141247
6,GOOGL,51.89,1.25,0.94,46.97,1.0,1.58,54.84,1.01,0.97,16.072181674735234,5.212158786435332,1.0318594884737629,0.9177317034974659,0.9571362874478277
7,GOOG,52.15,1.39,0.94,45.93,1.02,1.58,54.84,1.03,0.97,16.278349049206817,5.323229190775003,1.0401858316568897,0.9253789959934408,0.9622169416597637
8,AVGO,52.73,1.55,1.95,50.0,1.05,1.89,53.12,1.28,1.24,152.78183014930326,93.05812213214678,1.9129553062933842,1.5982234194989917,1.26691710137038
9,TSLA,52.96,2.0,0.46,51.02,1.02,2.1,48.0,0.95,0.74,41.29955866959273,18.288254582919727,0.505145346809181,0.6185074719342547,0.6922816134446714
10,LLY,51.14,1.16,2.86,53.98,0.86,1.7,40.0,1.14,1.23,99.48885772761125,63.826426562316364,2.7741088411875787,2.1916720329687296,2.141149261737904
11,JPM,40.31,0.6,1.12,37.42,0.93,1.26,28.57,0.66,1.1,9.378981030595233,6.426685911605503,1.0427813418187826,0.9564440357573711,0.8885181045716634
12,UNH,41.73,0.59,0.97,38.71,0.89,1.07,27.59,0.82,0.88,23.86628078262247,18.040864036306058,1.0556528359061288,1.1116723925203398,0.9901405654958895
13,V,37.17,0.23,1.26,33.59,0.91,1.21,27.27,0.59,1.09,11.34542074343081,7.286714868271695,1.242605341783215,1.1667715082488754,1.0997932045232575
14,XOM,45.09,0.84,1.64,42.38,0.97,0.97,40.91,0.76,1.05,5.146326795615911,2.827148558025123,1.5436067976944485,1.4871834157122017,1.7843166820130167
15,JNJ,40.93,0.62,0.93,39.02,0.91,0.89,26.09,0.83,0.99,7.0068735326084655,1.876466720061659,0.9162964275721713,0.9064180831454154,0.949672664728785
16,MA,42.02,0.41,1.25,38.41,0.94,1.18,40.74,0.66,1.12,19.952653397245587,18.742034869715074,1.2197447641531676,1.120834288557311,1.111190997644052
17,PG,41.06,0.77,0.98,36.04,0.92,0.97,15.0,0.77,1.08,5.178134911372074,4.516733085037168,0.9629901327058191,0.8927632064085607,0.9423747592916009
18,HD,47.18,1.02,0.9,42.64,0.96,1.06,41.67,0.94,1.1,18.191732818268644,11.077884820573576,0.8796385939294088,0.8070923727417203,0.768481766737451
19,COST,46.15,1.12,1.29,40.46,1.0,1.41,47.37,0.98,1.13,46.36084104422141,32.52345799977985,1.2821013584089904,1.1156798145979856,0.997323768998644
20,MRK,38.49,0.63,1.6,40.37,0.89,1.02,22.73,0.86,1.08,4.215272795998821,4.143288542238393,1.629009134765657,1.3551486523236167,1.4000778691590081
21,ABBV,41.29,0.61,1.32,42.31,0.92,0.98,23.53,0.87,1.11,7.662614335070416,6.70274606682216,1.2879549949276607,1.1337673967237634,1.138946421059928
22,ADBE,53.4,1.48,1.0,53.19,1.04,1.67,55.17,1.16,0.96,95.49903904666527,29.535277655402435,1.1321480541022677,1.1437905652428362,0.9610469005598489
23,CRM,52.04,1.28,1.23,44.03,1.05,1.8,50.0,0.61,1.21,26.642099270434347,15.371547217519467,1.1735084107752392,1.033114517266135,0.866132230997527
24,AMD,58.84,2.91,1.44,56.55,1.23,2.09,55.56,1.62,1.53,17.700494538392373,18.431377182056867,1.1942944046140245,0.952845882530567,0.7088353693705745
25,CVX,41.85,0.55,1.23,39.87,0.98,0.88,43.75,0.68,0.98,9.37079990716711,3.8496092016536467,1.243844131652324,1.1735156027494973,1.37708968788972
26,NFLX,60.68,2.83,1.02,54.01,0.98,1.52,47.83,1.34,1.29,54.64764151561076,47.50373132202093,0.9495390072606176,0.7832191167697531,0.6671741141978412
27,WMT,42.58,0.69,1.27,38.83,0.91,1.11,32.0,0.81,1.13,2.5596660559566025,2.401445435125908,1.1921126994848306,1.0659155527548871,1.1508450615800954
28,BAC,46.91,0.94,0.74,46.51,0.97,0.98,45.45,0.98,1.06,2.7804054128473203,0.9193845741535063,0.689101865767652,0.6405500874343845,0.5992915028754104
29,PEP,31.52,0.42,0.94,30.08,0.96,0.97,26.67,0.72,0.94,8.897891221881661,2.606676269521059,0.9679039560369287,0.972522111503584,1.035501987571173
30,KO,33.07,0.38,0.99,29.57,0.93,0.95,15.79,0.7,0.99,2.5236990036640754,0.5344593954354503,0.9878918638057556,0.9855697008895223,0.9669928404669458
31,ACN,45.37,0.64,0.94,42.96,1.0,1.25,48.15,0.7,1.12,24.227908099674533,12.677271456665173,0.9192926654701179,0.8489240949382787,0.7813010497654683
32,MCD,39.05,0.46,1.09,35.59,0.89,1.11,36.0,0.8,0.99,13.226524833710947,3.6051844679778298,1.0780603727711064,1.0853227173247912,1.0343003654244296
33,TMO,40.39,0.71,0.97,34.01,1.02,0.94,47.06,0.56,1.13,36.651713014637316,16.314745588324264,0.8911812297734628,0.8048058173417273,0.8215695970652559
34,CSCO,40.79,0.42,0.81,38.64,0.93,1.06,29.17,0.68,0.98,2.7673538130810496,1.1592468305671757,0.8184489970304528,0.8053877849968112,0.9160816426179847
35,ABT,44.8,0.77,0.89,44.92,0.94,0.98,38.1,0.93,1.1,5.693578486482774,3.1423828274918817,0.8235250352811019,0.7857405682266325,0.743905110272479
36,LIN,31.85,-0.05,1.34,31.01,0.89,1.29,16.0,0.65,1.13,24.738102735806727,20.328272101041666,1.2163800829367255,1.2375511274094957,1.123894323027695
37,CMCSA,46.95,0.8,0.85,43.65,1.06,1.18,62.5,0.84,0.98,2.997968088080586,1.4791487724031454,0.838214800676172,0.8501693432252487,0.9093445036549725
38,INTC,56.47,2.2,0.83,57.75,0.96,1.7,48.28,1.73,0.94,5.452830285844348,2.204203117955974,0.8150169715983797,0.8287542608460444,0.7149040668951753
39,WFC,49.38,1.21,1.08,48.89,1.07,1.14,51.85,1.0,1.17,3.197980105871537,3.070411075723004,0.9110900734273178,0.8809478904398697,0.8233175413303465
40,VZ,44.44,0.92,0.74,42.74,1.0,0.95,42.86,0.94,1.01,2.751242232045081,1.1331025964873436,0.7428464618273448,0.6975874020107242,0.6270805688015273
41,ORCL,48.24,1.22,1.27,42.74,0.98,1.21,32.0,0.98,1.1,11.967405195141524,4.195769332624837,1.312922154409196,1.1347366244273231,1.2630572232094366
42,INTU,52.98,1.81,1.05,44.96,1.0,1.51,50.0,0.94,1.1,62.21102248986679,23.108911322816862,1.0644326001882425,0.9609587036445684,0.8652639465458704
43,DIS,52.81,1.25,0.71,48.25,1.07,1.0,65.0,1.02,1.2,7.776010212269647,8.594601523497838,0.696012344206858,0.5847942091654442,0.5459448980645647
