Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,6.75,6.5,6.75,2.435046434402466,5900
1973-02-22,0.0,6.75,6.5,6.625,2.3899526596069336,8600
1973-02-23,0.0,6.75,6.5,6.625,2.3899526596069336,3400
1973-02-26,0.0,6.625,6.375,6.625,2.3899526596069336,2900
1973-02-27,0.0,6.625,6.25,6.5,2.344860076904297,4000
1973-02-28,0.0,6.625,6.25,6.5,2.344860076904297,7600
1973-03-01,0.0,6.5,6.25,6.5,2.344860076904297,6300
1973-03-02,0.0,6.5,6.25,6.5,2.344860076904297,5200
1973-03-05,0.0,6.5,6.25,6.5,2.344860076904297,5400
1973-03-06,0.0,6.5,6.25,6.375,2.299766778945923,6200
1973-03-07,0.0,6.5,6.25,6.5,2.344860076904297,3800
1973-03-08,0.0,6.5,6.25,6.5,2.344860076904297,1700
1973-03-09,0.0,6.5,6.375,6.5,2.344860076904297,3300
1973-03-12,0.0,6.5,6.375,6.5,2.344860076904297,2000
1973-03-13,0.0,6.5,6.375,6.5,2.344860076904297,1200
1973-03-14,0.0,6.5,6.25,6.25,2.2546730041503906,6700
1973-03-15,0.0,6.25,6.125,6.25,2.2546730041503906,5400
1973-03-16,0.0,6.375,6.125,6.25,2.2546730041503906,1100
1973-03-19,0.0,6.25,6.125,6.125,2.209578275680542,1100
1973-03-20,0.0,6.25,6.125,6.25,2.2546730041503906,1500
1973-03-21,0.0,6.125,5.875,6.0,2.1644859313964844,12400
1973-03-22,0.0,6.0,5.5,5.75,2.074298620223999,10300
1973-03-23,0.0,5.75,5.5,5.625,2.029205083847046,4000
1973-03-26,0.0,5.75,4.875,5.0,1.803737759590149,336000
1973-03-27,0.0,5.25,4.875,5.125,1.8488320112228394,57800
1973-03-28,0.0,5.25,5.0,5.125,1.8488320112228394,31700
1973-03-29,0.0,5.25,5.0,5.125,1.8488320112228394,24500
1973-03-30,0.0,5.125,5.0,5.125,1.8488320112228394,24100
1973-04-02,0.0,5.5,5.375,5.375,1.9390184879302979,17000
1973-04-03,0.0,5.5,5.125,5.125,1.8488320112228394,7100
1973-04-04,0.0,5.375,5.125,5.25,1.8939257860183716,4600
1973-04-05,0.0,5.25,5.0,5.125,1.8488320112228394,18600
1973-04-06,0.0,5.25,5.125,5.25,1.8939257860183716,8100
1973-04-09,0.0,5.5,5.375,5.375,1.9390184879302979,9500
1973-04-10,0.0,5.75,5.5,5.5,1.984112024307251,10100
1973-04-11,0.0,5.75,5.5,5.625,2.029205083847046,13400
1973-04-12,0.0,5.875,5.625,5.75,2.074298620223999,5100
1973-04-13,0.0,5.875,5.625,5.625,2.029205083847046,6900
1973-04-16,0.0,5.875,5.625,5.625,2.029205083847046,5700
1973-04-17,0.0,5.625,5.5,5.5,1.984112024307251,3100
1973-04-18,0.0,5.625,5.375,5.375,1.9390184879302979,5000
1973-04-19,0.0,5.5,5.25,5.375,1.9390184879302979,7900
1973-04-23,0.0,5.375,5.125,5.375,1.9390184879302979,3600
1973-04-24,0.0,5.25,5.125,5.125,1.8488320112228394,1700
1973-04-25,0.0,5.125,5.0,5.0,1.803737759590149,2900
1973-04-26,0.0,5.125,5.0,5.125,1.8488320112228394,6200
1973-04-27,0.0,5.125,5.0,5.0,1.803737759590149,8800
1973-04-30,0.0,5.125,5.0,5.0,1.803737759590149,6200
1973-05-01,0.0,5.125,5.0,5.0,1.803737759590149,3000
1973-05-02,0.0,5.125,5.0,5.0,1.803737759590149,2100
1973-05-03,0.0,5.125,5.0,5.0,1.803737759590149,2100
1973-05-04,0.0,5.125,5.0,5.0,1.803737759590149,1500
1973-05-07,0.0,5.125,5.0,5.0,1.803737759590149,1900
1973-05-08,0.0,5.0,4.875,4.875,1.758644700050354,500
1973-05-09,0.0,5.0,4.875,4.875,1.758644700050354,1400
