Date,Open,High,Low,Close,Adj Close,Volume
1997-11-18,19.5,19.75,19.5,19.5,3.018012762069702,3531800
1997-11-19,19.5,19.875,19.5,19.75,3.056706666946411,616400
1997-11-20,19.75,19.75,19.0,19.25,2.9793217182159424,280500
1997-11-21,19.25,19.625,19.25,19.5625,3.027686595916748,195600
1997-11-24,19.375,19.4375,19.3125,19.3125,2.9889938831329346,87000
1997-11-25,19.375,19.375,19.125,19.1875,2.9696457386016846,172600
1997-11-26,19.25,19.5,19.125,19.375,2.9986679553985596,202200
1997-11-28,19.25,19.375,19.125,19.25,2.9793217182159424,277500
1997-12-01,19.25,19.375,18.875,19.0,2.940626621246338,148000
1997-12-02,19.25,19.25,19.125,19.25,2.9793217182159424,74800
1997-12-03,19.1875,19.375,19.1875,19.25,2.9793217182159424,99800
1997-12-04,19.25,19.3125,19.125,19.1875,2.9696457386016846,170800
1997-12-05,19.0625,19.375,19.0625,19.375,2.9986679553985596,146200
1997-12-08,19.25,19.5,19.25,19.5,3.018012762069702,123100
1997-12-09,19.5,19.625,19.375,19.5,3.018012762069702,93500
1997-12-10,19.5,19.625,19.4375,19.5625,3.027686595916748,71000
1997-12-11,19.5,19.5,19.3125,19.375,2.9986679553985596,118800
1997-12-12,19.375,19.5,19.25,19.375,2.9986679553985596,107200
1997-12-15,19.5,19.75,19.375,19.6875,3.0470340251922607,153300
1997-12-16,19.5625,19.6875,19.5,19.5,3.018012762069702,55600
1997-12-17,19.375,19.5625,19.3125,19.4375,3.0083398818969727,101100
1997-12-18,19.4375,19.5625,19.3125,19.375,2.9986679553985596,211400
1997-12-19,19.375,19.5625,19.0,19.4375,3.0083398818969727,167100
1997-12-22,19.4375,19.875,19.4375,19.5625,3.027686595916748,96000
1997-12-23,19.6875,19.875,19.0,19.375,2.9986679553985596,102900
1997-12-24,19.25,19.375,19.125,19.1875,2.99749493598938,70700
1997-12-26,19.25,19.25,19.0625,19.25,3.0072572231292725,76600
1997-12-29,19.25,19.4375,19.25,19.3125,3.0170228481292725,77000
1997-12-30,19.3125,19.875,19.3125,19.4375,3.0365500450134277,124400
1997-12-31,19.4375,19.4375,19.25,19.375,3.026787519454956,126100
1998-01-02,19.4375,19.625,19.375,19.625,3.065842866897583,14400
1998-01-05,19.8125,20.0,19.625,19.875,3.1048965454101562,267300
1998-01-06,19.875,20.0625,19.75,19.875,3.1048965454101562,151500
1998-01-07,19.875,19.875,19.625,19.75,3.085371971130371,120700
1998-01-08,19.75,20.0,19.625,19.75,3.085371971130371,185100
1998-01-09,19.75,19.75,19.375,19.375,3.026787519454956,90000
1998-01-12,19.0,19.5,19.0,19.25,3.0072572231292725,140100
1998-01-13,19.3125,19.625,19.25,19.5625,3.056077241897583,80000
1998-01-14,19.5,19.5,19.375,19.5,3.046313524246216,99800
1998-01-15,19.5,19.5,19.3125,19.4375,3.0365500450134277,43100
1998-01-16,19.5,19.5,19.25,19.375,3.026787519454956,108600
1998-01-20,19.625,20.0,19.625,19.875,3.1048965454101562,76100
1998-01-21,20.0,20.0,19.625,19.875,3.1048965454101562,31000
1998-01-22,19.8125,19.875,19.5,19.6875,3.0756053924560547,57900
1998-01-23,19.75,20.0,19.75,19.75,3.085371971130371,42400
1998-01-26,19.875,20.0,19.8125,19.875,3.1048965454101562,40700
1998-01-27,19.875,20.0,19.625,19.75,3.085371971130371,95900
1998-01-28,19.8125,20.0,19.5625,19.9375,3.11466121673584,80600
1998-01-29,19.8125,20.0,19.75,20.0,3.1244242191314697,76000
1998-01-30,19.875,19.875,19.75,19.75,3.085371971130371,46400
1998-02-02,19.75,19.875,19.5,19.875,3.1048965454101562,84700
1998-02-03,19.875,19.875,19.4375,19.75,3.085371971130371,75800
1998-02-04,19.8125,19.875,19.5625,19.6875,3.0756053924560547,148500
1998-02-05,19.8125,20.0,19.75,20.0,3.1244242191314697,103400
1998-02-06,19.875,19.875,19.5,19.625,3.065842866897583,72300
1998-02-09,19.625,19.625,19.25,19.4375,3.0365500450134277,61500
1998-02-10,19.375,19.5,19.375,19.375,3.026787519454956,37500
1998-02-11,19.5,19.5,19.25,19.375,3.026787519454956,42300
1998-02-12,19.4375,19.4375,19.125,19.25,3.0072572231292725,36400
