Date,Open,High,Low,Close,Adj Close,Volume
1997-11-12,5.8125,5.8125,5.59375,5.78125,4.333312034606934,893200
1997-11-13,5.78125,6.1875,5.78125,5.90625,4.427002906799316,507600
1997-11-14,5.875,6.03125,5.8125,5.96875,4.473850727081299,500400
1997-11-17,6.0,6.0,5.78125,5.78125,4.333312034606934,106600
1997-11-18,5.8125,5.8125,5.5625,5.625,4.216195106506348,91600
1997-11-19,5.65625,5.65625,5.0625,5.375,4.02880859375,281400
1997-11-20,5.4375,5.53125,5.375,5.5,4.12250280380249,147000
1997-11-21,5.5,5.5625,5.46875,5.5,4.12250280380249,61600
1997-11-24,5.5,5.5625,5.4375,5.46875,4.099081039428711,29200
1997-11-25,5.5625,5.5625,5.125,5.125,3.8414218425750732,95400
1997-11-26,5.03125,5.3125,4.78125,5.28125,3.958538293838501,144400
1997-11-28,5.21875,5.25,5.15625,5.25,3.9351165294647217,19800
1997-12-01,5.21875,5.21875,5.15625,5.15625,3.8648462295532227,20200
1997-12-02,5.15625,5.25,5.09375,5.09375,3.8179993629455566,55400
1997-12-03,5.0625,5.125,5.0,5.0625,3.794576406478882,77400
1997-12-04,5.125,5.4375,5.125,5.3125,3.9819633960723877,51200
1997-12-05,5.28125,5.375,5.21875,5.28125,3.958538293838501,60600
1997-12-08,5.28125,5.71875,5.25,5.5625,4.169349670410156,57400
1997-12-09,5.3125,5.4375,5.3125,5.40625,4.0522332191467285,39000
1997-12-10,5.375,5.5,5.375,5.5,4.12250280380249,141600
1997-12-11,5.5,5.5,5.34375,5.40625,4.0522332191467285,140600
1997-12-12,5.4375,5.46875,5.40625,5.4375,4.075655937194824,61200
1997-12-15,5.625,5.71875,5.375,5.4375,4.075655937194824,129200
1997-12-16,5.46875,5.46875,5.25,5.375,4.02880859375,58200
1997-12-17,5.375,5.4375,5.34375,5.375,4.02880859375,53600
1997-12-18,5.3125,5.3125,5.1875,5.1875,3.88826847076416,27000
